Imke Harms
Michael Hopp
Monika Wilkens
Kathrin Bachmann
Klaudia Ahlers
Doreen Lampe
Christl Hornung
Leonid Scheel
August Kopp
Alois Zeidler
Heinz-Werner Schirmer
Lieselotte Fuhrmann
Heiner Schöne
Maximilian Ehrlich
Bruno Kugler
Bernd Höhne
Klaus-Peter Vogler
Sascha Jacobs
Brunhild Wilke
Helmuth Tietz
Karl-Friedrich Weiss
Mohammad Stern
Natalia Wendel
Guido Stahl
Lore Funk
Alexander Eberle
Gerti Dörr
Enno Jost
Corina Weiser
Myriam Hohmann
Gertraud Kohler
Heinz-Peter Wilke
Heike Menzel
Jörg Will
Irma Janssen
Eberhard Ostermann
Roswita Dreier
Guenter Bode
Eduard Fröhlich
Lukas Eberle
Maritta Peter
Reinhardt Otto
Waltraud Springer
Wilma Endres
Anke Maas
Ottmar Opitz
Inge Herold
Marlies Ebel
Dimitrios Hartl
Larissa Hinze
Edwin Stoll
Ronny Raabe
Magdalena Eder
Pamela Habermann
Monica Gross
Otto Böhm
Mike Noack
Heinz-Werner Herrmann
Georg Barth
Edgar Lerch
Franz Just
Valeri Geisler
Friederike Albert
Henrik Uhlig
Annett Hübner
Reinhard Rupp
Elfriede Hildebrand
Kay Busse
Axel Diehl
Lina Steinbach
Jens-Peter Knauer
Isa Sperling
Benedikt Schuster
Jana Eckardt
Julia Römer
Margarethe Peters
Jean Baumgart
Ria Beier
Henning Scherer
Bertram Stoll
Antonius Seibel
Frauke Engels
Volkmar Hinrichs
Karen Orth
Eckard Janßen
Henning Siebert
Fritz Hübner
Wanda Wegner
Manja Jonas
Michele Stein
Klaus-Jürgen Steinert
Alexandra Geisler
Walter Armbruster
Rüdiger Dreyer
Falk Rehm
Klaudia Riedel
Edmund Pietsch
Martina Klug
Saskia Ebner
Marita Helm
Ernestine Gebhardt
Brunhilde Rau
Christine Wille
Leopold Schwarze
Marliese Berthold
Sigrid Grimm
John Mohr
Edith May
Anke Westermann
Karoline Grau
Salvatore Heise
Wilma Balzer
Georgios Kirchhoff
Erich Schwab
Hilda Seidler
Almut Eckardt
Eleonore Bühler
Carmen Funk
Hans-Georg Kraus
Marcel Zink
Adam Heller
Reinhard Oswald
Isabel Metzner
Cornelia Heckmann
Heino Dietze
Andreas Fritsche
Gertrude Göbel
Pamela Kleinert
Christiane Winter
Roswitha Metzner
Engelbert Weigel
Dieter Busse
Lisbeth Wichmann
Felicitas Winkler
Klaus-Jürgen Buck
Horst-Dieter Hoffmann
Rosa Jacobi
Jessica Gerlach
Marie Kunze
Volker Reitz
Denis Kühl
Ingolf Janssen
Barbara Reinhardt
Leopold Schönfeld
Waldemar Huth
Eike Rühl
Sophia Otto
Anja Hopf
Sabina Brandl
Arnold Augustin
Rosi Kübler
Fred Straub
Heinz-Jürgen Höfer
Georgios Holst
Christian Walther
Detlef Seidel
Gerold Forster
Marianne Spindler
Sven Haag
Ulli Maaß
Sylvia Brück
Wally Rademacher
Christiane Kuhn
Ines Fröhlich
Nathalie Otten
Hinrich Grau
Marie Teichmann
Roberto Klemm
Hans-Günter Reinke
Marga Jacobs
Konrad Reichelt
Helga Menzel
Gabriele Petri
Karl Schürmann
Irmhild Dörr
Inna Grünewald
Hans-Werner Buchner
Conny Heinen
Gesa Scherer
Markus Hartung
Ernst Breuer
Marija Oswald
Eveline Schramm
Joanna Seidel
Birgit Enders
Katja Schweitzer
Claus-Peter Franke
Heidemarie Schindler
Gerald Rudolf
Ursel Mende
Hans-Peter Scholz
Erhard Mielke
Frieda Mai
